time,open,high,low,close,Volume
1775678580,57135,57135,57130,57130,19
1775678640,57105,57115,57105,57115,2
1775678700,57085,57085,57080,57080,4
1775678940,57125,57130,57125,57130,2
1775679000,57135,57140,57135,57140,2
1775679060,57150,57150,57150,57150,1
1775679180,57135,57135,57135,57135,2
1775679300,57125,57125,57125,57125,2
1775679360,57140,57140,57140,57140,1
1775679420,57135,57135,57135,57135,2
1775679600,57130,57130,57130,57130,2
1775679660,57120,57120,57120,57120,1
1775679720,57110,57115,57110,57115,6
1775679840,57115,57115,57115,57115,1
1775679900,57125,57125,57125,57125,4
1775679960,57110,57110,57110,57110,2
1775680080,57080,57080,57080,57080,1
1775680200,57075,57075,57075,57075,1
1775680320,57070,57070,57060,57060,3
1775680380,57075,57075,57075,57075,1
1775680500,57085,57085,57085,57085,1
1775680620,57060,57060,57040,57040,19
1775680680,57040,57050,57030,57050,32
1775680740,57045,57045,57040,57040,2
1775680860,57040,57050,57040,57050,2
1775681040,57035,57040,57035,57040,2
1775681160,57020,57035,57020,57035,3
1775681340,57030,57030,57030,57030,1
1775681400,57060,57060,57050,57050,3
1775681520,57035,57035,57030,57030,2
1775681580,57045,57045,57045,57045,1
1775681640,57050,57055,57035,57055,4
1775681700,57040,57045,57035,57035,4
1775681820,57040,57050,57040,57050,3
1775681880,57040,57040,57035,57035,4
1775681940,57035,57035,57035,57035,1
1775685600,57025,57025,57025,57025,1
1775685780,57030,57045,57030,57045,2
1775685960,57025,57025,57025,57025,1
1775686020,57005,57005,57005,57005,1
1775686200,57005,57005,57005,57005,1
1775686260,56970,56995,56970,56995,2
1775686380,56950,56950,56935,56940,5
1775686440,56940,56940,56905,56905,5
1775686500,56925,56945,56925,56945,2
1775686620,56925,56925,56925,56925,1
1775686740,56890,56890,56860,56860,5
1775686800,56850,56850,56850,56850,1
1775686860,56830,56830,56825,56825,4
1775686920,56850,56850,56835,56835,5
1775687040,56850,56850,56850,56850,1
1775687280,56870,56870,56845,56865,6
1775687340,56870,56870,56855,56870,4
1775687400,56870,56870,56870,56870,3
1775687460,56885,56885,56885,56885,1
1775687520,56900,56900,56900,56900,1
1775687580,56905,56905,56905,56905,2
1775687700,56930,56940,56930,56940,3
1775687760,56900,56900,56900,56900,1
1775687820,56890,56895,56890,56895,2
1775688060,56895,56895,56895,56895,2
1775688120,56880,56880,56880,56880,1
1775688240,56860,56860,56860,56860,2
1775688300,56860,56860,56850,56855,8
1775688360,56855,56855,56855,56855,1
1775688420,56850,56850,56845,56845,4
1775688480,56845,56845,56835,56840,4
1775688600,56840,56855,56840,56855,3
1775688900,56845,56845,56845,56845,1
1775689020,56835,56835,56835,56835,1
1775689200,56820,56820,56820,56820,1
1775689380,56830,56845,56830,56845,2
1775689500,56915,56915,56915,56915,2
1775689560,56895,56895,56880,56880,2
1775689980,56855,56880,56855,56880,4
1775690100,56880,56885,56880,56885,2
1775690460,56870,56870,56870,56870,2
1775690520,56840,56840,56830,56835,9
1775690580,56850,56850,56850,56850,1
1775690700,56865,56865,56840,56840,3
1775690820,56840,56840,56840,56840,1
1775690880,56835,56840,56835,56840,3
1775691000,56815,56815,56810,56810,2
1775691120,56860,56860,56860,56860,1
1775691240,56855,56855,56855,56855,1
1775691300,56855,56855,56845,56845,4
1775691360,56835,56835,56830,56830,4
1775691480,56830,56830,56790,56790,10
1775691540,56740,56755,56735,56735,6
1775691660,56735,56735,56735,56735,1
1775691720,56735,56735,56715,56715,4
1775691780,56700,56700,56635,56635,15
1775691840,56625,56660,56625,56650,10
1775691900,56610,56720,56565,56720,30
1775691960,56755,56755,56735,56745,5
1775692020,56745,56745,56735,56735,2
1775692080,56725,56725,56725,56725,1
1775692140,56735,56735,56735,56735,2
1775692200,56705,56720,56705,56715,6
1775692260,56745,56745,56745,56745,1
1775692320,56700,56705,56700,56705,4
1775692380,56680,56700,56680,56700,8
1775692440,56690,56690,56655,56655,3
1775692500,56655,56660,56620,56620,7
1775692560,56565,56565,56545,56550,26
1775692620,56545,56550,56480,56520,26
1775692680,56545,56550,56510,56510,13
1775692740,56500,56500,56455,56485,13
1775692800,56495,56495,56280,56280,86
1775692860,56250,56320,56240,56305,37
1775692920,56305,56305,56265,56300,8
1775692980,56270,56270,56230,56230,5
1775693040,56230,56230,56200,56205,6
1775693100,56230,56280,56205,56280,18
1775693160,56290,56325,56285,56310,9
1775693220,56250,56250,56210,56215,5
1775693280,56265,56265,56245,56250,3
1775693340,56270,56280,56265,56270,5
1775693460,56280,56305,56280,56305,3
1775693520,56335,56340,56310,56340,3
1775693580,56380,56410,56380,56405,6
1775693640,56455,56455,56455,56455,5
1775693700,56435,56435,56430,56430,2
1775693760,56480,56510,56455,56510,8
1775693820,56495,56510,56495,56500,6
1775693880,56480,56520,56440,56440,12
1775693940,56470,56480,56470,56480,3
1775694000,56450,56480,56450,56480,4
1775694060,56515,56515,56480,56510,11
1775694120,56530,56530,56490,56495,4
1775694180,56465,56465,56465,56465,1
1775694240,56470,56480,56440,56440,6
1775694300,56370,56370,56370,56370,1
1775694360,56350,56350,56350,56350,1
1775694420,56355,56380,56355,56380,2
1775694480,56345,56345,56320,56320,5
1775694540,56320,56320,56300,56300,10
1775694600,56290,56305,56290,56305,6
1775694660,56365,56365,56365,56365,2
1775694720,56300,56300,56300,56300,1
1775694840,56205,56255,56205,56250,11
1775694900,56240,56240,56240,56240,3
1775694960,56195,56195,56195,56195,1
1775695020,56180,56225,56180,56200,6
1775695200,56250,56275,56250,56270,8
1775695260,56255,56255,56230,56235,12
1775695440,56220,56220,56210,56210,5
1775695500,56175,56180,56170,56175,5
1775695560,56150,56150,56115,56130,5
1775695620,56155,56165,56155,56165,4
1775695680,56175,56180,56175,56180,3
1775695740,56215,56215,56215,56215,3
1775695800,56215,56220,56210,56220,4
1775695860,56185,56185,56185,56185,2
1775696100,56125,56125,56125,56125,1
1775696160,56125,56125,56125,56125,1
1775696220,56110,56120,56105,56105,4
1775696280,56120,56120,56110,56110,2
1775696400,56190,56195,56185,56195,4
1775696460,56120,56130,56090,56090,6
1775696580,56075,56095,56065,56095,7
1775696640,56100,56100,56100,56100,2
1775696700,56095,56095,56060,56060,4
1775696760,56070,56125,56070,56125,5
1775696820,56110,56120,56105,56105,5
1775696940,56160,56160,56160,56160,1
1775697240,56080,56100,56080,56100,2
1775697300,56100,56125,56100,56115,13
1775697360,56035,56040,56035,56035,3
1775697420,56080,56080,56080,56080,1
1775697480,56110,56110,56095,56100,5
1775697540,56090,56090,56090,56090,1
1775697600,56115,56115,56105,56105,2
1775697660,56115,56115,56115,56115,2
1775697780,56030,56030,56000,56030,12
1775697840,56040,56050,56040,56050,2
1775698080,56040,56040,56040,56040,1
1775698140,56005,56005,56005,56005,2
1775698200,55990,55990,55990,55990,1
1775698260,55960,55970,55960,55970,2
1775698320,56000,56030,55990,56030,5
1775698380,56055,56055,56055,56055,2
1775698440,56115,56120,56115,56120,2
1775698500,56110,56120,56110,56120,3
1775698560,56085,56095,56070,56095,45
1775698620,56080,56080,56050,56065,3
1775698800,56030,56030,56030,56030,4
1775698860,56010,56010,56010,56010,1
1775698920,56020,56020,56020,56020,1
1775699160,56065,56065,56065,56065,1
1775699400,56120,56120,56090,56090,2
1775699460,56120,56125,56115,56115,8
1775699520,56115,56135,56115,56135,9
1775699580,56140,56140,56140,56140,1
1775699640,56165,56175,56160,56160,5
1775699700,56155,56155,56155,56155,1
1775699760,56110,56135,56110,56135,2
1775699820,56135,56140,56125,56125,5
1775699880,56095,56145,56095,56145,3
1775699940,56160,56160,56160,56160,1
1775700000,56170,56170,56155,56155,4
1775700060,56185,56210,56180,56180,6
1775700420,56180,56180,56180,56180,1
1775700480,56185,56185,56140,56155,3
1775700540,56175,56175,56175,56175,4
1775700600,56135,56140,56135,56140,4
1775700720,56105,56105,56105,56105,1
1775700840,56125,56130,56125,56130,3
1775701080,56190,56190,56190,56190,1
1775701140,56190,56200,56190,56200,7
1775701200,56210,56210,56180,56180,3
1775701260,56160,56170,56160,56170,4
1775701320,56140,56140,56140,56140,3
1775701500,56135,56135,56130,56135,15
1775701680,56110,56110,56110,56110,1
1775701800,56150,56150,56150,56150,2
1775701860,56190,56190,56190,56190,1
1775701980,56155,56165,56155,56165,4
1775702460,56160,56160,56160,56160,1
1775702520,56155,56155,56155,56155,1
1775702580,56185,56185,56185,56185,6
1775702640,56185,56190,56185,56190,2
1775702760,56195,56195,56195,56195,1
1775703000,56180,56180,56180,56180,1
1775703060,56170,56170,56170,56170,2
1775703300,56130,56130,56110,56110,3
1775703360,56105,56105,56090,56090,5
1775703420,56095,56105,56095,56105,2
1775703600,56095,56095,56095,56095,1
1775703660,56100,56100,56090,56095,39
1775703720,56105,56105,56105,56105,1
1775703780,56100,56100,56100,56100,1
1775703960,56110,56110,56095,56095,2
1775704020,56100,56105,56100,56105,2
1775704200,56125,56125,56125,56125,1
1775704380,56100,56100,56080,56080,2
1775704440,56075,56090,56075,56090,2
1775704560,56080,56080,56080,56080,2
1775704620,56060,56060,56060,56060,1
1775704680,56055,56055,56050,56050,2
1775704800,56040,56040,56035,56035,2
1775704860,56030,56030,56020,56020,3
1775704920,56005,56015,56000,56015,7
1775704980,56020,56030,56020,56030,3
1775705100,56045,56050,56025,56025,12
1775705280,56045,56045,56045,56045,1
1775705340,56045,56050,56030,56030,5
1775705400,56025,56025,56005,56005,6
1775705460,56090,56090,56090,56090,1
1775705520,56115,56115,56110,56110,11
1775705640,56105,56105,56105,56105,1
1775705700,56080,56080,56080,56080,1
1775706120,56030,56030,56030,56030,1
1775706360,56040,56040,56020,56030,5
1775706420,55990,55995,55965,55995,4
1775706540,55990,56005,55990,56005,5
1775706660,56005,56005,56000,56005,5
1775706780,55990,55990,55990,55990,1
1775706840,56000,56000,55980,55990,4
1775706900,55980,55980,55945,55945,7
1775706960,56010,56010,56000,56000,8
1775707020,55995,55995,55995,55995,1
1775707260,55950,55950,55925,55925,10
1775707320,55950,55950,55950,55950,1
1775707440,55970,55970,55970,55970,2
1775707560,55960,55960,55960,55960,1
1775707620,55945,55945,55945,55945,1
1775707680,55970,55970,55970,55970,1
1775707920,56020,56040,56000,56005,16
1775708040,56005,56015,56005,56015,19
1775708100,55985,55995,55985,55990,9
1775708160,55980,55985,55975,55975,3
1775708280,55950,55950,55940,55940,2
1775708340,55930,55930,55930,55930,1
1775708400,55935,55935,55935,55935,2
1775708460,55920,55920,55905,55905,4
1775708520,55910,55910,55910,55910,1
1775708580,55905,55905,55905,55905,1
1775708640,55905,55905,55905,55905,1
1775708700,55905,55920,55905,55920,5
1775708880,55925,55930,55925,55930,2
1775708940,55950,55950,55950,55950,1
1775709060,55950,56005,55950,56005,10
1775709240,55950,55950,55950,55950,1
1775709300,55955,55970,55955,55970,2
1775709600,55975,55975,55975,55975,1
1775709660,55995,56010,55985,56010,10
1775709720,56000,56000,56000,56000,1
1775710260,55990,56045,55990,56040,7
1775710620,55980,55980,55980,55980,4
1775710860,55985,55985,55985,55985,1
1775710920,55985,55985,55975,55975,5
1775710980,55985,55985,55985,55985,2
1775711100,56005,56005,55985,55985,2
1775711220,56000,56010,56000,56010,2
1775711400,55975,55975,55975,55975,2
1775711760,56020,56070,56020,56070,7
1775711940,56075,56090,56075,56085,4
1775712000,56070,56080,56050,56080,9
1775712060,56075,56075,56075,56075,2
1775712180,56055,56055,56055,56055,1
1775712420,56095,56105,56095,56100,6
1775712480,56095,56095,56085,56090,4
1775712540,56105,56105,56105,56105,2
1775712660,56085,56085,56085,56085,5
1775712900,56070,56080,56070,56080,2
1775712960,56090,56090,56090,56090,1
1775713080,56130,56185,56130,56155,20
1775713140,56160,56165,56135,56135,9
1775713200,56140,56150,56140,56150,2
1775713260,56150,56160,56150,56160,6
1775713380,56170,56170,56170,56170,1
1775713440,56165,56180,56165,56180,2
1775713500,56185,56195,56185,56195,3
1775713560,56160,56160,56160,56160,2
1775713980,56125,56125,56125,56125,1
1775714040,56120,56120,56115,56115,3
1775714220,56115,56130,56115,56115,16
1775714280,56125,56125,56125,56125,1
1775714340,56130,56135,56115,56135,19
1775714400,56135,56150,56135,56135,16
1775714460,56145,56145,56125,56125,3
1775714520,56110,56110,56110,56110,1
1775714580,56155,56155,56135,56135,2
1775714640,56130,56130,56130,56130,3
1775714700,56110,56110,56110,56110,1
1775714880,56105,56105,56105,56105,1
1775714940,56090,56090,56090,56090,1
