time,open,high,low,close,Volume
1777053720,7192.75,7193.5,7191.75,7192.75,1015
1777053780,7192.5,7193,7191,7191.5,917
1777053840,7191.5,7192.25,7190.75,7191.5,1012
1777053900,7191.25,7191.5,7188,7188.75,2465
1777053960,7188.75,7190,7188.5,7189.5,1530
1777054020,7189.5,7191.5,7189.25,7191.25,1483
1777054080,7191.25,7193.5,7191.25,7192.75,2147
1777054140,7192.75,7192.75,7191.5,7192,764
1777054200,7192,7192.75,7191.5,7192,1285
1777054260,7191.75,7192.25,7190.5,7190.75,901
1777054320,7190.75,7191.5,7189.5,7189.75,1197
1777054380,7190,7191.25,7189,7189.25,1586
1777054440,7189.25,7190.75,7189,7190.75,1288
1777054500,7190.5,7191.75,7189.75,7189.75,1489
1777054560,7190,7190.5,7187.25,7188.25,3291
1777054620,7188,7188.5,7186.75,7186.75,1425
1777054680,7187,7188.5,7186.25,7188.25,1223
1777054740,7188.5,7188.5,7187,7187.75,971
1777054800,7187.75,7187.75,7186,7186,2027
1777054860,7186.25,7188,7186,7186,1974
1777054920,7186,7187,7184.75,7185,1586
1777054980,7185.25,7187,7185,7186.75,1632
1777055040,7186.75,7188.25,7186.5,7187.5,1211
1777055100,7187.75,7189,7187,7188.5,1361
1777055160,7188.5,7189.75,7188,7188.75,1225
1777055220,7189,7189.25,7186.75,7187.25,2751
1777055280,7187.25,7187.25,7185.5,7186,1545
1777055340,7186.25,7186.75,7185.25,7185.5,907
1777055400,7185.5,7187.25,7185.25,7186,1732
1777055460,7186,7187.75,7186,7187,1882
1777055520,7187,7189.75,7186.75,7188.5,1757
1777055580,7188.75,7189,7187.75,7188.5,829
1777055640,7188.75,7190,7188.5,7189.25,1141
1777055700,7189.25,7190.5,7189.25,7189.5,992
1777055760,7189.75,7190.25,7188.5,7190,2035
1777055820,7190.25,7190.5,7189.5,7190,646
1777055880,7190,7191.5,7190,7190.5,1098
1777055940,7190.5,7190.75,7189.5,7190,1542
1777056000,7190.25,7191.5,7190,7191,1026
1777056060,7191.25,7192,7190.5,7190.5,1254
1777056120,7190.5,7190.75,7189,7189.25,1311
1777056180,7189.25,7189.5,7188,7188.25,1658
1777056240,7188.5,7189,7188,7188.75,1051
1777056300,7188.75,7189.25,7187,7187.75,1824
1777056360,7187.75,7189.25,7187.75,7188,1665
1777056420,7188,7190.25,7187.25,7189.75,2073
1777056480,7189.5,7190,7188.5,7189.5,857
1777056540,7189.5,7190.25,7188.25,7188.25,771
1777056600,7188.25,7189.25,7187.25,7188.75,1511
1777056660,7188.75,7189.25,7188.25,7189,724
1777056720,7189.25,7190.25,7189.25,7189.75,2338
1777056780,7189.75,7190.75,7189.5,7189.75,862
1777056840,7190,7190.25,7188.75,7189,827
1777056900,7189,7189.75,7188.75,7189.5,944
1777056960,7189.75,7190,7188.5,7189,661
1777057020,7189,7189.75,7188.75,7189.5,584
1777057080,7189.25,7191,7189,7190.75,1092
1777057140,7190.75,7191.5,7190.5,7190.75,1408
1777057200,7191,7193.5,7190.75,7192.25,3059
1777057260,7192.25,7193.25,7192.25,7192.75,1469
1777057320,7193,7194,7192.75,7193.5,2315
1777057380,7193.75,7193.75,7192.25,7192.5,1200
1777057440,7192.25,7193.25,7192.25,7193,804
1777057500,7193,7193.75,7192.25,7192.5,1377
1777057560,7192.75,7193.5,7192.5,7193.5,999
1777057620,7193.75,7194.25,7193,7194.25,1249
1777057680,7194.25,7196,7194.25,7195.25,2378
1777057740,7195.25,7197.25,7195,7196.75,3060
1777057800,7196.5,7198.5,7196.25,7197,3365
1777057860,7197,7197.75,7196.5,7197.5,1506
1777057920,7197.25,7198.75,7197,7198.75,1586
1777057980,7198.5,7199.5,7197.25,7198.5,2823
1777058040,7198.25,7198.5,7197.25,7197.5,2084
1777058100,7197.75,7199.75,7197.75,7199.25,1937
1777058160,7199.25,7199.25,7197.75,7199,1199
1777058220,7199,7200,7198.75,7198.75,1944
1777058280,7199,7199.25,7196.75,7198,2029
1777058340,7197.75,7198.75,7197.75,7197.75,1368
1777058400,7197.75,7198,7196,7197,1847
1777058460,7197,7197.5,7195,7196,2404
1777058520,7195.75,7196.75,7195.75,7195.75,1029
1777058580,7196,7196,7194.25,7194.5,1673
1777058640,7194.5,7194.5,7193,7193.25,1864
1777058700,7193.5,7194,7191.5,7191.5,2401
1777058760,7191.75,7192.5,7190.75,7191.5,3662
1777058820,7191.5,7193.5,7190.75,7192.5,2582
1777058880,7192.5,7193.5,7192,7193.25,1768
1777058940,7193,7193.75,7192.75,7193,1576
1777059000,7193,7193.25,7190.5,7191.5,2800
1777059060,7191.75,7192.25,7190.25,7192,1895
1777059120,7192,7194,7192,7192.75,1889
1777059180,7192.5,7194,7192,7192.75,1143
1777059240,7192.75,7193.5,7191.75,7191.75,1346
1777059300,7191.75,7191.75,7189.75,7190,3417
1777059360,7190,7192,7189.75,7191.5,1421
1777059420,7191.25,7192,7190.5,7191.5,1248
1777059480,7191.25,7192,7190.5,7191,1571
1777059540,7191,7192.25,7190.75,7192.25,1466
1777059600,7192,7193.5,7191.25,7193.25,2057
1777059660,7193.25,7195.25,7193,7194.25,3040
1777059720,7194.25,7195.25,7193.25,7193.75,1913
1777059780,7194,7194.5,7193.5,7193.75,1302
1777059840,7193.5,7194.75,7193.25,7193.25,1546
1777059900,7193.25,7194,7192.25,7193,2413
1777059960,7192.75,7193,7191.25,7191.5,2281
1777060020,7191.5,7193,7191,7192.75,1618
1777060080,7192.75,7193.75,7192,7193,1979
1777060140,7193.25,7194.25,7192.75,7194,2617
1777060200,7194,7196.25,7192.5,7192.75,5223
1777060260,7192.75,7193.25,7191,7191.75,2974
1777060320,7191.5,7193.25,7191,7191.25,2795
1777060380,7191.25,7195,7191,7194.75,3177
1777060440,7194.5,7196.5,7194.25,7196.5,4552
1777060500,7196.25,7198.25,7194.5,7196,7299
1777060560,7196,7197.25,7196,7196.75,5026
1777060620,7196.75,7198.5,7195.5,7198,4940
1777060680,7198,7199,7197,7197.25,6058
1777060740,7197.25,7198.25,7193.25,7194.75,56490
1777060800,7194.5,7196,7194,7195.75,11999
